timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-24 12:05:23,-0.19,2.81,-0.56,51.38,0.56,22.50,9.38,30.94,1
2024-07-24 12:07:13,2.06,2.44,0.00,63.94,19.50,30.38,9.00,29.06,2
2024-07-24 12:07:23,0.19,0.56,2.25,38.06,3.00,26.81,9.19,31.50,3
2024-07-24 12:07:32,24.56,24.56,767.81,24.56,33.94,0.00,24.56,30.56,4
2024-07-24 12:07:45,24.56,24.56,191.81,24.56,27.56,95.81,95.81,28.69,5
2024-07-24 12:09:02,0.00,3.75,0.19,41.44,27.19,24.94,6.94,28.31,6
2024-07-24 12:10:07,1.50,2.63,0.19,65.25,3.00,26.06,3.38,26.44,7
2024-07-24 12:10:19,2.81,-0.75,1.69,64.31,4.50,24.56,4.69,28.31,8
2024-07-24 12:10:30,2.25,3.00,-1.88,46.13,3.56,25.50,5.81,26.63,9
2024-07-24 12:10:39,0.75,3.00,1.31,53.25,3.19,25.31,6.00,25.69,10
2024-07-24 12:10:52,1.88,1.88,-2.44,7.31,6.00,26.25,4.69,27.19,11
2024-07-24 12:11:02,-1.69,0.00,1.50,-7.31,0.56,27.94,4.50,27.56,12
2024-07-24 12:11:11,2.25,-1.69,0.19,9.19,4.69,24.00,4.88,27.38,13
2024-07-24 12:11:22,0.56,2.81,-1.31,-7.31,6.19,26.06,4.69,27.00,14
2024-07-24 12:11:33,2.25,3.19,-1.13,-18.38,5.25,22.69,4.88,25.50,15
2024-07-24 12:11:50,1.50,1.88,-0.75,-27.00,7.31,23.81,3.75,26.06,16
2024-07-24 12:11:59,0.56,0.94,2.81,36.56,5.81,26.44,5.44,26.44,17
2024-07-24 12:12:12,0.00,3.00,3.38,18.94,3.19,25.13,7.31,27.94,18
2024-07-24 12:12:21,3.00,1.13,-0.19,29.06,3.56,23.25,2.44,26.44,19
2024-07-24 12:12:28,-0.94,1.69,2.44,18.94,3.19,28.13,5.25,25.31,20
2024-07-24 12:12:36,0.94,-0.75,-1.13,39.38,6.75,27.38,2.25,26.81,21
2024-07-24 12:12:45,-0.94,1.69,0.38,23.44,5.81,28.69,6.56,27.38,22
2024-07-24 12:12:55,-0.19,0.75,-1.50,29.63,5.06,27.56,4.31,27.19,23
2024-07-24 12:14:24,-0.19,2.25,-2.63,38.81,4.88,26.81,6.00,28.31,24
2024-07-24 12:14:40,-0.19,3.19,-1.31,-25.88,6.00,28.69,4.88,28.88,25
2024-07-24 12:14:52,1.13,-0.56,0.00,38.63,4.13,28.31,8.06,28.69,26
2024-07-24 12:15:09,2.81,0.00,-0.94,-5.44,2.25,28.31,7.50,29.25,27
2024-07-24 12:15:28,1.88,0.94,0.94,33.00,4.31,31.69,9.19,30.19,28
2024-07-24 12:16:46,2.44,-0.38,0.00,27.38,29.63,28.69,5.06,28.88,29
2024-07-24 12:16:54,1.13,0.94,0.19,4.69,27.56,26.44,8.25,30.94,30
2024-07-24 12:17:02,1.13,3.56,2.81,22.50,30.19,24.00,6.94,27.38,31
2024-07-24 12:17:13,3.19,2.25,3.94,-15.19,24.94,28.50,8.63,28.13,32
2024-07-24 12:17:22,0.94,0.00,0.56,-6.94,24.75,25.13,6.19,27.75,33
